Date,Open,High,Low,Close,Adj Close,Volume
2007-03-22,13.390000,13.480000,13.285714,13.422857,11.679242,140373100
2007-03-23,13.335714,13.438571,13.328571,13.360000,11.624548,112721000
2007-03-26,13.427143,13.700000,13.328571,13.692857,11.914167,216246800
2007-03-27,13.672857,13.832857,13.571428,13.637143,11.865690,233013200
2007-03-28,13.554286,13.628572,13.307143,13.320000,11.589743,235584300
2007-03-29,13.455714,13.455714,13.175714,13.392858,11.653137,181430900
2007-03-30,13.468572,13.525714,13.250000,13.272857,11.548724,150139500
2007-04-02,13.448571,13.464286,13.288571,13.378572,11.640708,125498100
2007-04-03,13.448571,13.604285,13.394286,13.500000,11.746363,145983600
2007-04-04,13.562857,13.591429,13.447143,13.467143,11.717775,119196000
2007-04-05,13.445714,13.525714,13.360000,13.525714,11.768736,88879000
2007-04-09,13.601429,13.614285,13.291429,13.378572,11.640708,103335400
2007-04-10,13.381429,13.465714,13.344286,13.464286,11.715289,88116700
2007-04-11,13.414286,13.421429,13.190000,13.227143,11.508949,137254600
2007-04-12,13.148571,13.187143,12.960000,13.170000,11.459229,164168900
2007-04-13,12.985714,13.057143,12.865714,12.891429,11.216845,179985400
2007-04-16,12.938571,13.071428,12.892858,13.061429,11.364762,152258400
2007-04-17,13.142858,13.185715,12.814285,12.907143,11.230516,187980100
2007-04-18,12.880000,12.978572,12.800000,12.914286,11.236732,116011000
2007-04-19,12.884286,13.035714,12.832857,12.895715,11.220572,106478400
2007-04-20,12.984285,13.025714,12.935715,12.995714,11.307585,130694900
2007-04-23,13.084286,13.400000,13.060000,13.358571,11.623304,195072500
2007-04-24,13.422857,13.770000,13.042857,13.320000,11.589743,263813200
2007-04-25,13.461429,13.628572,13.400000,13.621428,11.852020,296786000
2007-04-26,14.511429,14.642858,14.042857,14.120000,12.285826,434444500
2007-04-27,14.025714,14.278571,13.955714,14.274285,12.420069,174850900
2007-04-30,14.298572,14.428572,14.238571,14.257143,12.405153,154127400
2007-05-01,14.227143,14.335714,14.078571,14.210000,12.364135,133130900
2007-05-02,14.235714,14.362857,14.210000,14.341429,12.478493,126286300
2007-05-03,14.390000,14.492857,14.287143,14.342857,12.479732,144019400
2007-05-04,14.400000,14.514286,14.357142,14.401428,12.530697,95496800
2007-05-07,14.440000,14.907143,14.430000,14.845715,12.917270,215389300
2007-05-08,14.781428,15.021428,14.774285,15.008572,13.058974,195999300
2007-05-09,14.987143,15.280000,14.984285,15.268572,13.285197,179439400
2007-05-10,15.232857,15.548572,15.131429,15.334286,13.342376,299314400
2007-05-11,15.391429,15.590000,15.254286,15.534286,13.516395,163424100
2007-05-14,15.660000,15.714286,15.464286,15.622857,13.593463,162986600
2007-05-15,15.652857,15.742857,15.211429,15.360000,13.364749,238628600
2007-05-16,15.504286,15.547143,14.774285,15.334286,13.342376,281691900
2007-05-17,15.307143,15.695714,15.307143,15.634286,13.603409,183822800
